label,text
Chicken pox,unity suffer swollen red lymph nodes on my weaponry and pegleg that itch when I touch them. I'm also suffering from a terrible headache and a modest fever. I don't feeling like eating anything and have suffer my appetite.
peptic ulcer disease,"My hunger and appetite are persistent and ravenous. Periodically, my stomach may cramp and spasm. After eating, I have bloating and gas, which makes me quite uncomfortable."
drug reaction,"My skin occasionally peels off the rashes that I have. This makes me more vulnerable to infections. My hands begin to shake, and occasionally I have tremors."
gastroesophageal reflux disease,"My pharynx often feels comparable it is burning, especially afterward eating. A bitter operating_theater sour aftertaste that I occasionally experience also makes me feel unwell."
Dengue,"ane have developed a skin rash that covers my entire body. The heady is red and swollen, and is sorry Indiana certain areas such deoxyadenosine_monophosphate my blazon and legs. I have also lost my appetite."
Hypertension,"I have been feeling lightheaded and unsteady on my feet, and have also noticed a decline in my ability to focus and concentrate."
Fungal infection,"I have a somewhat plaguey itch all over my body, and my sputter as_well give a few red, bumpy areas. I've also cause about zit that resemble small balls and other spots that cost vitamin_A different colour than the rest of my skin.Â"
peptic ulcer disease,I can't get to sleep Beaver_State stay_on asleep because I have a stomach pain. one stick fatigued after using the toilet and stop organism hungry. I headache angstrom_unit lot of the time.
Dimorphic Hemorrhoids,"I've been finding it incredibly difficult recently to use the restroom. I can only go sporadically because it hurts so much. My anus and the surrounding region are also quite painful. My anus feels really aggravated, and my stool has been extremely bloody."
Hyperthyroidism,"symptom include unexplained weight loss, despite increase appetite, and difficulty sleeping. Patients May see nervousness, irritability, and mood swings."
Dimorphic Hemorrhoids,"I've been constipated and it's really hard to go to the bathroom. When I do go, it hurts and my stool has been bloody. I've also been having some pain in my butt and my anus has been really itchy and irritated."
Impetigo,"Over the last week, the rash on my face has gotten more severe and painful, and the sores have begun to discharge a yellow colored fluid. It's becoming increasingly painful by the day."
urinary tract infection,"I have a mild temperature and blood in my pee. My head hurts almost constantly, and I frequently experience severe, involuntary desires to urinate. Additionally, I've been experiencing lower back ache"
peptic ulcer disease,"I have both bloating and unease. I no longer like eating because I've been losing weight. I sometimes vomit blood and have tarry, black stools."
Hypertension,"I've been experiencing dizziness and anxiousness, as well as a loss in my attention and concentration and ability to concentrate."
urinary tract infection,I have been having pain in my bladder and have been getting 
Chicken pox,The spoil is making IT hard for me to rest at night. I can't get any rest. I accept also mixed-up my appetite and feel lethargic.
